dataset,left_side,right_side,ssim
cifar10,0.0,1.0,0.003719462681910549
cifar10,0.0,2.0,8.617747331475757e-05
cifar10,0.0,3.0,0.00022596216374160186
cifar10,0.0,4.0,6.826598488452442e-05
cifar10,0.0,5.0,-6.682352219036558e-05
cifar10,0.0,6.0,-0.0005067054575825494
cifar10,0.0,7.0,0.0011769697568469511
cifar10,0.0,8.0,-2.830281571055593e-05
cifar10,0.0,9.0,-4.339648835039296e-05
cifar10,1.0,0.0,0.0005302036071765436
cifar10,1.0,2.0,6.215757090316712e-05
cifar10,1.0,3.0,-5.2098231326558015e-05
cifar10,1.0,4.0,2.2689470900794116e-05
cifar10,1.0,5.0,0.00020543543403169458
cifar10,1.0,6.0,-0.0008427415113440414
cifar10,1.0,7.0,2.5043789920145805e-06
cifar10,1.0,8.0,4.446552554820654e-05
cifar10,1.0,9.0,2.2400811876428207e-05
cifar10,2.0,0.0,2.4783383634346245e-06
cifar10,2.0,1.0,0.0005288967525329661
cifar10,2.0,3.0,0.03579384279200009
cifar10,2.0,4.0,0.036078815501603974
cifar10,2.0,5.0,-0.00013692419686632253
cifar10,2.0,6.0,0.0009870216461509414
cifar10,2.0,7.0,0.047351439881827294
cifar10,2.0,8.0,0.0012920293970389563
cifar10,2.0,9.0,0.0009511375772368732
cifar10,3.0,0.0,-3.936941273230183e-05
cifar10,3.0,1.0,-0.00029936960162965984
cifar10,3.0,2.0,0.013513631494667479
cifar10,3.0,4.0,0.0035489834422380386
cifar10,3.0,5.0,0.0009518718832292433
cifar10,3.0,6.0,0.021296817963181055
cifar10,3.0,7.0,-5.1986366187907105e-05
cifar10,3.0,8.0,-0.00015025807380312213
cifar10,3.0,9.0,-0.0003204072035147264
cifar10,4.0,0.0,7.71487184207777e-06
cifar10,4.0,1.0,-0.0005510761344413752
cifar10,4.0,2.0,0.07648832018620454
cifar10,4.0,3.0,0.0615595325594121
cifar10,4.0,5.0,6.286870091548066e-06
cifar10,4.0,6.0,-0.006516526081664544
cifar10,4.0,7.0,-3.563830946178967e-06
cifar10,4.0,8.0,0.00023486289100805484
cifar10,4.0,9.0,-0.0014948523663075722
cifar10,5.0,0.0,-0.0006764137487287812
cifar10,5.0,1.0,0.002000129890634991
cifar10,5.0,2.0,-1.653553029143766e-05
cifar10,5.0,3.0,0.007703664160208731
cifar10,5.0,4.0,3.335049830416384e-06
cifar10,5.0,6.0,-6.282213278420888e-05
cifar10,5.0,7.0,-0.0032692552400060784
cifar10,5.0,8.0,0.0006445370182137795
cifar10,5.0,9.0,0.0007973000873533688
cifar10,6.0,0.0,-1.6871088020059223e-05
cifar10,6.0,1.0,-5.483479071385851e-05
cifar10,6.0,2.0,9.515930435695681e-06
cifar10,6.0,3.0,0.005605825739781707
cifar10,6.0,4.0,0.01798580349038555
cifar10,6.0,5.0,0.0023798053351030096
cifar10,6.0,7.0,0.00021481699137913
cifar10,6.0,8.0,6.821524123453663e-05
cifar10,6.0,9.0,0.0005351324242232118
cifar10,7.0,0.0,3.6047202325527763e-06
cifar10,7.0,1.0,0.00020904025348067129
cifar10,7.0,2.0,0.056511631673241476
cifar10,7.0,3.0,-0.00045978081726120155
cifar10,7.0,4.0,-0.00039704503004897644
cifar10,7.0,5.0,4.146132342597523e-05
cifar10,7.0,6.0,-5.819419357077665e-05
cifar10,7.0,8.0,-0.00010158779855984187
cifar10,7.0,9.0,0.0007522036680520742
cifar10,8.0,0.0,5.287886420875091e-05
cifar10,8.0,1.0,0.01389301155179941
cifar10,8.0,2.0,-0.00019412712211305629
cifar10,8.0,3.0,-8.180843660027347e-05
cifar10,8.0,4.0,0.0003639973490655595
cifar10,8.0,5.0,0.0003153105026168354
cifar10,8.0,6.0,-0.0002493368261042371
cifar10,8.0,7.0,-0.0018083060527910406
cifar10,8.0,9.0,-2.053969182267467e-05
cifar10,9.0,0.0,0.0001758964350667096
cifar10,9.0,1.0,0.00011986344912521883
cifar10,9.0,2.0,6.437065122812916e-05
cifar10,9.0,3.0,0.00016117670246151793
cifar10,9.0,4.0,-0.0013528577588344665
cifar10,9.0,5.0,-1.5537830148688964e-05
cifar10,9.0,6.0,-0.0003673456267804612
cifar10,9.0,7.0,-0.00013138871709108762
cifar10,9.0,8.0,0.0016670777646832574
