dataset,left_side,right_side,threshold_value,clean_min,clean_max,clean_mean,clean_median,clean_stddev,modified_clean_min,modified_clean_max,modified_clean_mean,modified_clean_median,modified_clean_stddev
cifar10,0.0,1.0,0.1,0.49117815494537354,0.4917175769805908,0.4913901090621948,0.4913947582244873,0.00014175278192851692,0.49085554480552673,0.49105820059776306,0.49090588092803955,0.49088960886001587,4.8148307541850954e-05
cifar10,0.0,1.0,0.11,0.49117815494537354,0.4917175769805908,0.4913901090621948,0.4913947582244873,0.00014175278192851692,0.4908547103404999,0.4910460412502289,0.49090248346328735,0.4908875823020935,4.575418643071316e-05
cifar10,0.0,1.0,0.12,0.49117815494537354,0.4917175769805908,0.4913901090621948,0.4913947582244873,0.00014175278192851692,0.49085497856140137,0.4910390079021454,0.4909004867076874,0.4908865988254547,4.3982767238048837e-05
cifar10,0.0,1.0,0.13,0.49117815494537354,0.4917175769805908,0.4913901090621948,0.4913947582244873,0.00014175278192851692,0.490855872631073,0.491038054227829,0.4909001588821411,0.49088579416275024,4.3248164729448035e-05
cifar10,0.0,1.0,0.13999999999999999,0.49117815494537354,0.4917175769805908,0.4913901090621948,0.4913947582244873,0.00014175278192851692,0.49085721373558044,0.49103623628616333,0.490900456905365,0.4908861815929413,4.287476258468814e-05
cifar10,0.0,1.0,0.14999999999999997,0.49117815494537354,0.4917175769805908,0.4913901090621948,0.4913947582244873,0.00014175278192851692,0.49085959792137146,0.4910394549369812,0.490902841091156,0.49088776111602783,4.3066196667496115e-05
cifar10,0.0,1.0,0.15999999999999998,0.49117815494537354,0.4917175769805908,0.4913901090621948,0.4913947582244873,0.00014175278192851692,0.4908615052700043,0.49104347825050354,0.49090439081192017,0.4908890724182129,4.35901056334842e-05
cifar10,0.0,1.0,0.16999999999999998,0.49117815494537354,0.4917175769805908,0.4913901090621948,0.4913947582244873,0.00014175278192851692,0.49086490273475647,0.4910498261451721,0.49090903997421265,0.49089300632476807,4.4086656998842955e-05
cifar10,0.0,1.0,0.17999999999999997,0.49117815494537354,0.4917175769805908,0.4913901090621948,0.4913947582244873,0.00014175278192851692,0.49086737632751465,0.49104881286621094,0.49090999364852905,0.4908944368362427,4.3129894038429484e-05
cifar10,0.0,1.0,0.18999999999999995,0.49117815494537354,0.4917175769805908,0.4913901090621948,0.4913947582244873,0.00014175278192851692,0.4908691346645355,0.4910489618778229,0.49091142416000366,0.49089711904525757,4.2290837882319465e-05
cifar10,0.0,2.0,0.1,0.07160605490207672,0.9517465829849243,0.7093430757522583,0.7865991592407227,0.22137171030044556,0.20515835285186768,0.3464997112751007,0.26801425218582153,0.2656588554382324,0.02925451472401619
cifar10,0.0,2.0,0.11,0.07160605490207672,0.9517465829849243,0.7093430757522583,0.7865991592407227,0.22137171030044556,0.21064288914203644,0.34990862011909485,0.2737322449684143,0.27054494619369507,0.02896299958229065
cifar10,0.0,2.0,0.12,0.07160605490207672,0.9517465829849243,0.7093430757522583,0.7865991592407227,0.22137171030044556,0.20762665569782257,0.34322410821914673,0.26935166120529175,0.2655770182609558,0.028940116986632347
cifar10,0.0,2.0,0.13,0.07160605490207672,0.9517465829849243,0.7093430757522583,0.7865991592407227,0.22137171030044556,0.21003049612045288,0.33662480115890503,0.26632583141326904,0.2615482211112976,0.028018416836857796
cifar10,0.0,2.0,0.13999999999999999,0.07160605490207672,0.9517465829849243,0.7093430757522583,0.7865991592407227,0.22137171030044556,0.21097424626350403,0.3356914818286896,0.26632389426231384,0.26342761516571045,0.027833474799990654
cifar10,0.0,2.0,0.14999999999999997,0.07160605490207672,0.9517465829849243,0.7093430757522583,0.7865991592407227,0.22137171030044556,0.22163940966129303,0.34171199798583984,0.2742978036403656,0.2691403925418854,0.027612030506134033
cifar10,0.0,2.0,0.15999999999999998,0.07160605490207672,0.9517465829849243,0.7093430757522583,0.7865991592407227,0.22137171030044556,0.21892189979553223,0.3366338312625885,0.2714262306690216,0.2683563828468323,0.028140341863036156
cifar10,0.0,2.0,0.16999999999999998,0.07160605490207672,0.9517465829849243,0.7093430757522583,0.7865991592407227,0.22137171030044556,0.21988888084888458,0.33610978722572327,0.2736889123916626,0.270049124956131,0.028475036844611168
cifar10,0.0,2.0,0.17999999999999997,0.07160605490207672,0.9517465829849243,0.7093430757522583,0.7865991592407227,0.22137171030044556,0.2134416550397873,0.3299643397331238,0.2679845094680786,0.26441892981529236,0.028695864602923393
cifar10,0.0,2.0,0.18999999999999995,0.07160605490207672,0.9517465829849243,0.7093430757522583,0.7865991592407227,0.22137171030044556,0.21056614816188812,0.32968488335609436,0.26736003160476685,0.2630149722099304,0.029529578983783722
cifar10,0.0,3.0,0.1,0.02848653495311737,0.9905851483345032,0.7351580262184143,0.9184620380401611,0.3264518976211548,4.969886049366323e-06,0.004887385759502649,0.000784982752520591,0.00018389109754934907,0.001120979548431933
cifar10,0.0,3.0,0.11,0.02848653495311737,0.9905851483345032,0.7351580262184143,0.9184620380401611,0.3264518976211548,5.294755283102859e-06,0.004633213393390179,0.0007988170837052166,0.00019336488912813365,0.0011135917156934738
cifar10,0.0,3.0,0.12,0.02848653495311737,0.9905851483345032,0.7351580262184143,0.9184620380401611,0.3264518976211548,5.180357220524456e-06,0.0045647029764950275,0.0008105812012217939,0.0001920740760397166,0.0011200618464499712
cifar10,0.0,3.0,0.13,0.02848653495311737,0.9905851483345032,0.7351580262184143,0.9184620380401611,0.3264518976211548,5.204472017794615e-06,0.00455436622723937,0.0008498674724251032,0.0002012717304751277,0.0011626087361946702
cifar10,0.0,3.0,0.13999999999999999,0.02848653495311737,0.9905851483345032,0.7351580262184143,0.9184620380401611,0.3264518976211548,4.731241006084019e-06,0.0039515746757388115,0.0007830827380530536,0.00017874142213258892,0.0010611971374601126
cifar10,0.0,3.0,0.14999999999999997,0.02848653495311737,0.9905851483345032,0.7351580262184143,0.9184620380401611,0.3264518976211548,4.148572315898491e-06,0.0039001170080155134,0.0007472592405974865,0.00017402715457137674,0.0010256718378514051
