dataset,left_side,right_side,ssim
fashion_mnist,0.0,1.0,-0.002199439810385584
fashion_mnist,0.0,2.0,-0.009036524297274971
fashion_mnist,0.0,3.0,-0.002759553205274157
fashion_mnist,0.0,4.0,-0.0027816379522911765
fashion_mnist,0.0,5.0,-0.004661946623796996
fashion_mnist,0.0,6.0,0.0012242508844666068
fashion_mnist,0.0,7.0,-0.0027863704872428934
fashion_mnist,0.0,8.0,-0.009250602539781825
fashion_mnist,0.0,9.0,0.001881411358480766
fashion_mnist,1.0,0.0,-0.0023246626544594505
fashion_mnist,1.0,2.0,-0.001984741233021742
fashion_mnist,1.0,3.0,-0.0012459827669977872
fashion_mnist,1.0,4.0,-0.0005399801902729448
fashion_mnist,1.0,5.0,0.0007128914544334833
fashion_mnist,1.0,6.0,0.0009134467203686707
fashion_mnist,1.0,7.0,0.043128245258086916
fashion_mnist,1.0,8.0,0.00015374748402543036
fashion_mnist,1.0,9.0,0.013607157554171176
fashion_mnist,2.0,0.0,-0.00123163971430674
fashion_mnist,2.0,1.0,-0.00031831100020048903
fashion_mnist,2.0,3.0,-0.00036059938562553066
fashion_mnist,2.0,4.0,8.743403756119598e-05
fashion_mnist,2.0,5.0,-0.0010090825490153838
fashion_mnist,2.0,6.0,-0.0008635472930780468
fashion_mnist,2.0,7.0,-0.009182110906236588
fashion_mnist,2.0,8.0,0.0014873753942201496
fashion_mnist,2.0,9.0,0.003965475648064158
fashion_mnist,3.0,0.0,0.0026962805681836773
fashion_mnist,3.0,1.0,-0.0022189670082540854
fashion_mnist,3.0,2.0,0.0018319446140472873
fashion_mnist,3.0,4.0,-0.0011006328734903276
fashion_mnist,3.0,5.0,-0.00137857925029644
fashion_mnist,3.0,6.0,0.00012420065215595804
fashion_mnist,3.0,7.0,0.013956110158685453
fashion_mnist,3.0,8.0,-0.002351010295637728
fashion_mnist,3.0,9.0,-0.002658994607379667
fashion_mnist,4.0,0.0,-0.00015790746696244594
fashion_mnist,4.0,1.0,-0.001377457470056437
fashion_mnist,4.0,2.0,0.0002749487115277845
fashion_mnist,4.0,3.0,-0.001554102973830216
fashion_mnist,4.0,5.0,-0.0013975491756384212
fashion_mnist,4.0,6.0,-0.0004964000845093555
fashion_mnist,4.0,7.0,0.01682527636326638
fashion_mnist,4.0,8.0,-0.008258522324626795
fashion_mnist,4.0,9.0,0.0023657530117806
fashion_mnist,5.0,0.0,0.004188258283655317
fashion_mnist,5.0,1.0,-0.0004840092630437431
fashion_mnist,5.0,2.0,-6.898425014511347e-05
fashion_mnist,5.0,3.0,-0.00396474742936807
fashion_mnist,5.0,4.0,-0.0031561193002209234
fashion_mnist,5.0,6.0,0.00035762776096420453
fashion_mnist,5.0,7.0,-0.002839319031256627
fashion_mnist,5.0,8.0,0.0007722064136258568
fashion_mnist,5.0,9.0,0.000431626319626768
fashion_mnist,6.0,0.0,-0.0003708342411136076
fashion_mnist,6.0,1.0,-0.00037272625666310714
fashion_mnist,6.0,2.0,0.001235857672900266
fashion_mnist,6.0,3.0,0.0011525453377534498
fashion_mnist,6.0,4.0,0.0007081986179750015
fashion_mnist,6.0,5.0,-0.0008943355559940776
fashion_mnist,6.0,7.0,-0.00799558556071623
fashion_mnist,6.0,8.0,0.0010419971428317772
fashion_mnist,6.0,9.0,0.014363817724389194
fashion_mnist,7.0,0.0,0.018156394250225326
fashion_mnist,7.0,1.0,0.0005194293411997362
fashion_mnist,7.0,2.0,0.0011562978524841667
fashion_mnist,7.0,3.0,0.0023502880771438753
fashion_mnist,7.0,4.0,0.00869902529870658
fashion_mnist,7.0,5.0,-0.002176237187579017
fashion_mnist,7.0,6.0,-0.0007510060283704142
fashion_mnist,7.0,8.0,0.010020677909547708
fashion_mnist,7.0,9.0,-0.00022958464101016304
fashion_mnist,8.0,0.0,-0.005994596419372457
fashion_mnist,8.0,1.0,-0.0007379183129572288
fashion_mnist,8.0,2.0,-0.0012383861145873881
fashion_mnist,8.0,3.0,0.002553163751586489
fashion_mnist,8.0,4.0,-0.004344714664622784
fashion_mnist,8.0,5.0,-0.002991184442508295
fashion_mnist,8.0,6.0,-0.007186989973066281
fashion_mnist,8.0,7.0,0.003561447648126353
fashion_mnist,8.0,9.0,0.004893775153526491
fashion_mnist,9.0,0.0,-0.007731013806765698
fashion_mnist,9.0,1.0,0.002851166838705767
fashion_mnist,9.0,2.0,0.004822763128598846
fashion_mnist,9.0,3.0,0.01109488460658725
fashion_mnist,9.0,4.0,-0.0032351746742907642
fashion_mnist,9.0,5.0,-0.0028934479215708127
fashion_mnist,9.0,6.0,-0.0014008898021730684
fashion_mnist,9.0,7.0,-5.557823974121935e-06
fashion_mnist,9.0,8.0,-0.0019795766802353427
